AREACD,AREANM,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
E07000051,Purbeck,842.9,916.3,841.5,837.4,727.8,844.5,762.7,804.6,760.9,640.5,679.9,628.5,823.4,686.0
E07000052,West Dorset,875.6,937.4,949.5,824.7,844.1,845.9,751.1,795.9,740.5,732.7,711.8,742.3,748,707.5
E07000053,Weymouth and Portland,971.3,1041.1,965.7,946.2,915.3,860.8,956.6,918.1,895.7,833.9,852.2,832.4,810.4,832.8
E07000061,Eastbourne,902.3,913.9,924.2,908.4,954.7,877.7,831.5,837.2,814.2,803.7,816.9,828,844,788.9
E07000062,Hastings,1188.3,1131.7,1131.9,1059.8,1006.3,1074.7,1011,1005.5,1003.2,963.8,946.8,944.3,875.4,929.8
E07000063,Lewes,891,875.6,843.3,836.8,827.9,754.8,790.7,786.3,685.5,759.1,722.1,690.9,659,612.6
E07000064,Rother,952.7,985.2,990.2,906.3,851.4,874.2,852.5,788.6,813.1,773.4,768.4,755.8,777.3,741.1
E07000065,Wealden,867.2,831,895.5,876.3,821.1,807.4,763.5,843.6,694.8,832.7,755.6,738.1,726,710.4
E07000066,Basildon,978.4,1083.7,1052.7,1053,970.3,1019.2,944.7,976.7,879.2,866.2,854,913.6,810.5,853.0
E07000067,Braintree,1162.3,1077.2,1062.9,913.4,982.2,891.9,847.2,975.8,881,890.9,820,867.9,848.1,795.6
E07000068,Brentwood,953,983.7,1053.2,818.9,866.7,832.7,823.9,858.4,802.7,725.8,782.4,789.3,801.6,795.5
E07000069,Castle Point,1043.5,1050.6,1110.9,1023.2,941.3,954.7,967.2,1004.8,792.5,859,822.5,932.3,931.2,833.8
E07000070,Chelmsford,877.8,859.3,879.1,889.1,843.6,795.4,802.5,753.3,763.5,799.4,748.2,791.7,751.9,691.9
E07000071,Colchester,972.3,950.8,919.8,937.7,892.5,882.8,819.1,827.8,850.8,817.6,849.2,812.5,783.5,873.1
E07000072,Epping Forest,957.9,994.1,1123.5,1016.8,969,910.3,992.1,975.5,855.9,845.8,807.1,776,765.4,898.2
E07000073,Harlow,1036,882,908.1,810.8,938,845.2,894.9,831.6,868.4,892.3,897.7,857.8,759.5,899.3
E07000074,Maldon,1088.6,923.5,1092.4,976.2,874.9,954.5,909.7,919.8,792.9,805.4,851.4,834,834.2,823.5
E07000075,Rochford,896.9,959.8,948,822.7,807.4,774.6,784.7,789.6,798.3,841.8,697.3,729.8,729.8,712.8
E07000076,Tendring,1019,1056.6,950.8,912.9,1011,886.2,948.7,937.8,841.1,870.2,925,908.9,905.2,869.4
E07000077,Uttlesford,1074.3,916,928.6,969.8,898.9,809.4,880.6,736.9,784.5,685.8,741.6,696.9,658.7,740.3
E07000078,Cheltenham,913.3,945.5,1039.4,807.3,904.8,908.6,798.4,835.7,798.6,778.3,727.2,790,817.1,756.7
E07000079,Cotswold,879.2,850.5,912.7,869.9,925.4,813.1,815.3,851.3,812.5,717.8,686.9,633.8,771.5,688.7
E07000080,Forest of Dean,982.2,1084.8,991.1,946.8,845.5,897.4,897.8,1026.6,762.6,820.3,829.7,765.6,825,791.6
E07000081,Gloucester,1023.7,1003.8,1025.5,1040.2,1021.3,932.3,987.2,931.1,876.1,893.7,790.2,787.3,927,910.5
E07000082,Stroud,1027,1003.7,1007.4,925.2,883.1,944.4,851.7,921.4,784.8,860.6,816.9,859.1,964.2,855.6
E07000083,Tewkesbury,957,946.3,971,881.5,906.9,836.6,821.6,771.3,867.8,745,764.6,793.3,727.6,726.6
E07000084,Basingstoke and Deane,973.7,989.4,1015.6,907.7,897.1,901.9,866.8,939.2,837.3,910.5,872.7,842.7,829.4,794.1
E07000085,East Hampshire,1040.3,974.3,1005.5,926,933.7,909.6,860.3,906.3,800.4,778.1,777.8,818.4,782.2,729.7
E07000086,Eastleigh,960,1043.1,1019.1,971.8,948.5,893.5,857,858.4,760,807.2,687.3,723.9,796,717.4
E07000087,Fareham,973.7,952.9,914.7,844.6,810.9,835.9,808.7,794.2,831.6,786.2,814.3,779.4,808.8,823.7
E07000088,Gosport,1042,1046.9,1001,1051.8,1014.4,963.4,1007.2,909.6,991.5,914.9,880,938.6,869.2,808.1
E07000089,Hart,809,836,913.3,853.5,821.4,700.9,763.7,675.2,682.3,647.1,700.2,712.8,625.1,563.3
E07000090,Havant,1032.9,984.6,981.2,925.1,909.9,903.8,868,855.4,826.5,813.9,828,804.6,835.9,796.6
E07000091,New Forest,824,835.3,859.5,796.1,780.2,757.2,761.6,744,712.8,704.4,693.6,716.3,694.7,673.9
E07000092,Rushmoor,1089.5,1188.7,1192,999.1,935.1,1013.4,982.8,955.8,849.6,900.2,838.4,840.5,899.2,771.6
E07000093,Test Valley,943.7,943.4,945.8,986,881.4,879.6,831.3,827.1,788.4,788.8,685.6,799.3,793.9,720.5
E07000094,Winchester,904.6,939.1,962.8,943.9,809.1,814.9,857.5,860.7,807.3,663,688.4,646.8,701,703.8
E07000095,Broxbourne,947.2,978.7,951.2,977.2,916.8,923.4,865.5,839.1,732.9,790.1,727.1,812.3,723.3,650.2
E07000096,Dacorum,973,956.7,1007.6,929.8,986.6,882.2,784.5,928.1,796.5,785.4,716.8,776.1,814.6,695.5
E07000242,East Hertfordshire,982.9,948.7,906.2,991.6,894.1,826,857.6,871.6,763.4,836.2,701.4,843,681.1,689.7
E07000098,Hertsmere,1152,1101.3,1029.1,1046.4,1046.8,895,965.5,876,889,785.4,796.3,880.7,724.9,742.7
E07000099,North Hertfordshire,1130.6,1094.7,1043.5,946.8,916,934.6,908.2,1002.1,926.5,970.9,863.5,857.5,877.6,854.0
E07000243,Stevenage    ,1038.2,1035.2,1181.9,874.5,914.2,989.4,976.2,864.7,869.6,856.9,827.7,955.7,886.2,904.8
E07000102,Three Rivers,918,942.6,997.2,824.2,965.9,889.8,852.2,806.7,735.5,775.7,731,750.1,763.2,739.5
E07000103,Watford,1196.7,1159.1,1088.6,1055.3,1071.2,1014.7,970.3,998.4,960.6,988.9,853.2,984,836.5,932.8
E07000105,Ashford,872.8,992.4,1071.8,905.5,931.1,940.4,832.8,822.7,840.3,801.2,709.7,768.6,743.9,849.6
E07000106,Canterbury,1014.8,957.1,998.4,972.8,960,961,917,897.8,870.8,849.9,791.9,849,811.2,798.0
E07000107,Dartford,1169.8,1104.1,1262.6,1150.3,1148.2,984.9,1051.9,1085.7,1086.3,1031.2,1051.5,956.5,974.2,899.5
E07000108,Dover,1076.6,1011,996.5,925.7,993.2,951.8,934.2,943.8,842.1,934.6,888.5,896.9,834.8,847.0
E07000109,Gravesham,964.5,1076.5,1045.9,993.3,915.5,979.1,1007.3,900.6,933.6,868.4,835.8,834.4,905,842.2
E07000110,Maidstone,977.2,1042.5,995.7,972.8,995.7,981.2,909.5,935.3,823.2,896.8,802.7,852,838.4,843.1
E07000111,Sevenoaks,866.6,898.1,873.8,816.5,806.3,768.6,862.8,898,781.8,787,755.3,755.7,736.3,702.1
E07000112,Shepway,1079.7,1012.7,1041.4,917.1,1029.1,966.3,872.6,801.8,832.8,798.5,781.2,838.1,804.5,793.9
E07000113,Swale,1166.6,1137.9,1071.3,996.4,1007.1,1006.2,1033.3,1005.2,989.6,922.5,878.6,847.1,854.4,849.7
E07000114,Thanet,1029.3,1042.6,1097.1,1041.9,1067.9,1000.5,956.6,946.1,968.9,897.3,879.2,897.3,878.3,884.4
E07000115,Tonbridge and Malling,949.4,912.3,911.3,860.9,955.2,806.2,790.6,864.1,774.2,835.5,770.3,692.7,728,669.1
E07000116,Tunbridge Wells,953.8,1048.7,976.7,939.2,879,858.5,878.8,814.5,836.4,790.1,671,698.6,731.4,731.0
E07000117,Burnley,1249.7,1235.7,1208.3,1225.6,1121,1251.1,1181.9,1182,1107.9,905.8,1062.1,1134.3,1022.5,1073.2
E07000118,Chorley,1178.4,1155.1,1137.4,1145.7,1081.5,922.9,993.6,1117.8,962.9,885.3,951.5,957,895.9,891.5
E07000119,Fylde,1016,1073.3,1060.9,967.6,1015.2,932.8,940.8,930,922.2,848.8,809.2,902.3,925.1,816.9
E07000120,Hyndburn,1235.2,1204.8,1256.7,1086,1090.5,1195.2,1072.5,1199.2,1066.7,1115.2,1022.5,997,1049.1,993.2
E07000121,Lancaster,1000.3,1089.7,1038.2,1001.4,979.2,975.8,1039.6,1062.8,922.8,906.8,898.9,888.6,978,938.6
E07000122,Pendle,1103.2,1064.8,1129.9,994.2,1041.7,993.6,972.1,896.6,1021.2,952.7,903.4,903,956.1,917.9
E07000123,Preston,1240.5,1203.5,1231.8,1157.8,1188.1,1085.8,1048.1,1180.5,1063.6,1043.1,914.4,1037.2,971.7,944.2
E07000124,Ribble Valley,1043.7,1017.2,971.9,948.4,930,844,977.6,746.6,938.3,855.4,821.2,796.8,754.5,841.9
E07000125,Rossendale,1295.1,1188.4,1234.5,1143.9,1232.4,1062.1,995.8,1153.6,1085.5,970.6,1020.4,937.7,992.3,875.1
E07000126,South Ribble,1072,1014.5,1095.6,937.6,900.3,1004.2,1025.9,968.9,898.3,848.1,877.5,871.7,872.7,770.8
E07000127,West Lancashire,1187.1,1235,1200.7,1123.7,1117.6,1051.2,1113.3,1053.5,1015.2,947.5,900.1,861.7,935.6,859.1
E07000128,Wyre,1011.3,1026.7,1005.1,1035,1100.9,933.7,986.6,926,912,912.9,903.7,920.8,916.1,817.4
E07000129,Blaby,858.7,892.9,951.9,830.1,908.4,828.4,845.2,834.2,719.5,789.5,761.2,732,763.8,705.4
E07000130,Charnwood,1087.6,957.5,1039.9,990.2,977.5,921.6,759.5,923.9,813.6,785.3,769.9,869.2,809.5,789.2
E07000131,Harborough,1026.2,1029.3,968.4,976.4,920.7,841,861.8,742.1,764.1,736.6,690.5,771,736.2,739.6
E07000132,Hinckley and Bosworth,1008.4,980.7,1006.5,959.1,1071.3,979.2,873.6,876.5,796.4,778.7,724,815.9,759.3,679.5
E07000133,Melton,978.7,844.3,969.1,911,950.2,859.7,853.9,984.9,748.6,778.3,735.5,829.2,855.2,705.4
E07000134,North West Leicestershire,1010,1078.6,1126.8,1000.3,1100.3,964.8,951.1,893.2,899.6,949.3,785.6,841,817.2,830.8
